epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2336.88,1.50572,1.47129,1.15426,0.57246,0.737,0.64703,0.34639,1.44103,0.91166,1.14394,0.000554564,0.000554564,0.000554564
2,4684.72,1.46196,0.83715,1.15784,0.97784,0.44986,0.54857,0.30631,1.45909,0.75045,1.17626,0.00108275,0.00108275,0.00108275
